Review_Date,Hotel_Name,Positive_Review,Negative_Review,Reviewer_Nationality,Reviewer_Score,Total_Reviews_By_Reviewer,Tags,days_since_review
04/23/2017,Grange St Paul s Hotel,Very clean and elegant looked amazing from the inside and out Great location and our room had a good view of St Pauls Cathedral Spacious rooms and comfortable beds at an extremely good price compared to other upper end hotels in the City Didn t get time to use the spa facilities unfortunately but would definitely recommend this hotel to others,No Negative,United Kingdom,10,1,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",102 day
06/06/2017,Grange St Paul s Hotel,the bar was very nice,bed was abit uncomfortable,United Kingdom,9.2,1,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",58 days
01/07/2016,Grange St Paul s Hotel,Hotel was 1st Class,I liked everything,United Kingdom,10,12,"[' Business trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",574 day
02/16/2016,Covent Garden Hotel,The whole experience was first class from the greeting at the front door to the reception staff and the fantastic room The beds were better than Marriott and we always thought that their beds were the most comfortable until we visited this hotel The breakfast was brilliant and we had a super time there,No Negative,United Kingdom,10,6,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",534 day
05/30/2016,The Nadler Victoria,Great location and Beautiful room with lots of extra amenities They even surprised us with a bottle of wine for our anniversary,No Negative,United States of America,10,1,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",430 day
12/22/2015,Novotel London Tower Bridge,Great Location Good Hotel,No Negative,United Kingdom,10,4,"[' Leisure trip ', ' Family with young children ', ' Superior Room with Queen Bed and Sofa ', ' Stayed 1 night ']",590 day
10/22/2015,Maison Souquet,Courteous and attentive staff Beautiful decor Great history Wonderful location,No Negative,United States of America,10,2,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room with Private Access to Pool and Spa ', ' Stayed 2 nights ']",651 day
09/20/2016,Hotel des Tuileries Relais du Silence,Nice big room,The toilet is in a very small room,Israel,8.8,6,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ']",317 day
08/06/2016,The Victoria,Room spacious and comfy breakfast simple and delicious Staff friendly and helpful,No Negative,Australia,10,22,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",362 day
08/03/2017,Pullman London St Pancras,Excellent property,No Negative,United States of America,9.6,19,"[' Leisure trip ', ' Travelers with friends ', ' Classic King Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",0 days
07/07/2016,Pullman London St Pancras,Location and staff,Breakfast room a little chaotic and not as clean as I d have liked No bottle opener in room took far too long to rectify,United Kingdom,7.1,6,"[' Leisure trip ', ' Solo traveler ', ' Classic King Room ', ' Stayed 1 night ']",392 day
05/30/2016,Crowne Plaza London Kensington,Great location for Albert Hall excellent hotel to stay in,No Negative,United Kingdom,9.6,3,"[' Leisure trip ', ' Couple ', ' Club King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",430 day
08/13/2015,Doubletree by Hilton London Kensington,The location was great and the room was extremely clean,The room was very small and hardly any wardrobe space No toiletries or fridge Everything was extra breakfast wifi internet iron etc,Oman,6.7,2,"[' Leisure trip ', ' Solo traveler ', ' Club Double Room ', ' Stayed 4 nights ']",721 day
09/27/2015,Doubletree by Hilton London Kensington,It was a great experience to stay at this hotel,No Negative,Greece,9.5,3,"[' Business trip ', ' Solo traveler ', ' Club Double Room ', ' Stayed 1 night ']",676 day
08/09/2016,Ace Hotel London Shoreditch,Freedom,No Negative,East Timor,9.2,10,"[' Leisure trip ', ' Group ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",359 day
02/09/2017,The Grosvenor,No Positive,The staff could be more helpful with our situation we put wrong date for stayed and have been charged and now I have to stay somewhere else for extra money me and my girl were looking forward to celebrate our birthdays in style and close to the venue,Ireland,3.1,1,"[' Leisure trip ', ' Solo traveler ', ' Submitted from a mobile device ']",175 day
09/06/2015,The Grosvenor,Beautiful hotel great staff,Double room a little small Took 3 4 attempts to make contact with the reception for an emergency last minute reservation Would prefer king beds as standard for delux rooms,United Kingdom,9.2,2,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",697 day
04/10/2016,The Grosvenor,Location staff room and value all great,The bar doesn t have a lot of atmosphere,United Kingdom,9.6,1,"[' Leisure trip ', ' Group ', ' Standard Twin Room ', ' Stayed 1 night ']",480 day
01/21/2017,The Park Tower Knightsbridge a Luxury Collection Hotel,Location is very nice Room standard was spacious View,Staff are not friendly and welcoming Breakfast is not 5 hotel breakfast,United Kingdom,7.5,20,"[' Leisure trip ', ' Group ', ' Classic Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",194 day
01/02/2016,Le Parisis Paris Tour Eiffel,This hotel was very clean comfortable and stylish the soundproof rooms work a dream the beds are comfortable and the shower is amazing would definitely without doubt stay again and would recommend it to everyone traveling to paris,If there was a menu for what you could order to your room that would be nice other than that nothing,United Kingdom,9.2,2,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",579 day
02/09/2016,Thistle Kensington Gardens,The location infront of the Hyde Park Far from paddington station in about 12 minutes walking Breakfast time extended to be from 6 30 till 10 30am Easy checkout Bag s store after checked out let you take a tour freely without carying you bag with you everywhere,Small bathroom size around 3 m2 room type Deluxe Kingsize bedroom with view A little horns at night because the room cited front the road sometime get rushed and also the petrol station underneath the hotel,United Kingdom,9.2,9,"[' Couple ', ' Executive King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",541 day
12/01/2015,Thistle Kensington Gardens,Nice location Though garage below hotel was a bit unusual,Very small rooms though clean,United Kingdom,7.1,3,"[' Leisure trip ', ' Solo traveler ', ' Standard Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",611 day
01/16/2016,Park Plaza Sherlock Holmes London,Comfortable clean great for a weekend away,Not a great choice of food menu same thing day in day out lunch and dinner more choice needed Eating out advised,United Kingdom,7.5,2,"[' Leisure trip ', ' Couple ', ' Executive Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",565 day
01/08/2017,The Kensington Hotel,Bar very professional,No Negative,Greece,10,13,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",207 day
11/17/2015,Holiday Inn London Stratford City,Location was fantastic we were going to the Olympic stadium,We had a poor experience when eating in the hotel bar we ordering for meals from the bar snack menu but only one main course arrived The other meals arrived 40 minutes later after having to complain and reorder,United Kingdom,7.9,1,"[' Leisure trip ', ' Family with older children ', ' Queen Room Disability Access Non Smoking ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",625 day
01/24/2016,Holiday Inn London Stratford City,No Positive,Poor staff uncommunicative and just not bothered,United Kingdom,4.6,4,"[' Leisure trip ', ' Family with older children ', ' Standard Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",557 day
08/02/2016,Staybridge Suites London Stratford,Room very comfortable Big bonus proper fridge,No Negative,United Kingdom,9.2,15,"[' Leisure trip ', ' Solo traveler ', ' Suite ', ' Stayed 2 nights ']",366 day
09/18/2016,Shepherd s Bush Boutique Hotel,Close to the subway Close to London s largest shopping mall,This is not a 4 star hotel A basic breakfast,Israel,6.3,12,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 5 nights ']",319 day
12/31/2016,My Bloomsbury,No Positive,The room was really small The bathroom was not renovated,Israel,7.5,4,"[' Leisure trip ', ' Group ', ' Superior Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",215 day
09/06/2015,Holiday Inn Paris Gare de Lyon Bastille,Close to train station Gare de Lyon Within walking distance Staff very helpful,No Negative,Canada,10,1,"[' Leisure trip ', ' Couple ', ' King Room Non Smoking ', ' Stayed 1 night ', ' Submitted from a mobile device ']",697 day
05/10/2016,Op ra Marigny,Good location quite rooms great beds,When we entered our room we could smell the smoke of the previous guests although it was a non smoking room and hotel We complained at the reception but immediately got a new room,Belgium,8.3,7,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",450 day
03/18/2017,H tel Duo,Friendly staff Very courteous and helpful Quick response to questions,No Negative,United Kingdom,10,1,"[' Business trip ', ' Solo traveler ', ' Single Room with Shower ', ' Stayed 1 night ']",138 day
05/26/2017,The Rembrandt,Bed perfect meals were good The ambience also good,The hairdryer could be better Service at the restaurant could be better,Switzerland,9.2,1,"[' Couple ', ' Club Double Room ', ' Stayed 3 nights ']",69 days
09/06/2016,H tel de la Bourdonnais,Location Helpful satff Free smart phone And free goodies in the mini fridge Super market right next door,Elavator was out of order for one day Had to take stairs,Iran,8.8,8,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",331 day
02/21/2016,Ashburn Hotel,Room was very clean and comfortable Staff very friendly and helpful,Room could have been a bit bigger along with the bath tub,United Kingdom,8.8,1,"[' Leisure trip ', ' Couple ', ' Queen Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",529 day
07/05/2017,Novotel London Waterloo,No Positive,the cleanliness of the room had much to be desired and we were moved 3 time,United Kingdom,5,1,"[' Leisure trip ', ' Couple ', ' Superior Queen Room with Double Sofa ', ' Stayed 1 night ']",29 days
04/11/2016,Park International Hotel,bed was comfy disabled room was good nice reception area and lounge,a metal ramp down stairs is not a disability access not everyone uses wheelchair felt trapped in hotel piano bar far to loud restaurant food very average internet charge in this day and age,United Kingdom,7.5,21,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 2 nights ']",479 day
09/22/2016,Le Relais Madeleine,The bed was just really nice Almost as at home Just the pillow could be better,No Negative,Netherlands,9.2,2,"[' Business trip ', ' Solo traveler ', ' Superior Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",315 day
03/25/2017,Waldorf Madeleine,Clean and nice room perfect location this a very very good hotel,No Negative,Greece,10,11,"[' Leisure trip ', ' Couple ', ' Classic Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",131 day
07/16/2017,Best Western Mornington Hotel Hyde Park,Beautiful little hotel near Lancaster Gate tube station It has a lift It has air conditioning Most hotels I stay at in London has neither It has a charming area called the Library that serves drinks and snacks I loved the period detail in the architecture The staff were friendly and efficient The room where I stayed was very quiet unusual for a 200 year old building,The shower is ultra modern Maybe some directions for adjusting water temperature would be a good safety idea Also there needs to be a rubber mat in the bottom of the shower I did slip a little getting out as there is nothing to hold on to Also there is a step up into the bathroom from the bedroom which is unmarked I tripped over it twice before remembering it was there,United States of America,9.2,11,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",18 days
12/10/2016,Best Western Mornington Hotel Hyde Park,No Positive,shower need some diy,United Kingdom,7.9,9,"[' Business trip ', ' Solo traveler ', ' Twin Room ', ' Stayed 1 night ']",236 day
06/07/2016,Arbor City,Very welcoming staff who explained everything on arrival and we were given a discount to use at the restaurant as well The room was clean and well presented with a coffee machine making fantastic coffee,No Negative,United Kingdom,9.6,5,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",422 day
02/03/2016,Arbor City,Modern room comfortable,No Negative,France,8.3,6,"[' Leisure trip ', ' Couple ', ' Club Double Room ', ' Stayed 3 nights ']",547 day
05/05/2017,Le Pavillon des Lettres,Excellent and professional service Very close to central places to see in Paris notably the Louvre Tuileries Chams Elysees the Arch of Triumph and museums Very secure location on the same street area with the President s office ministries and embassies Their rooms are named after big writers and you can read their books available in the rooms Great bathroom,No Negative,Belgium,9.6,32,"[' Leisure trip ', ' Family with young children ', ' Superior Double Room ', ' Stayed 1 night ']",90 days
02/11/2016,Ambassadors Bloomsbury,Staff were extremely friendly and nice Went out of their way to help Excellent location Within walking distance of some of the best areas within the city,Room was slightly cramped Restaurant food was nice but over priced for what it was Bar closed at 10pm on the Sunday night,Ireland,7.9,8,"[' Leisure trip ', ' Group ', ' Twin Room ', ' Stayed 2 nights ']",539 day
09/20/2015,Ambassadors Bloomsbury,All staff were kind and supportive,No Negative,Japan,9.2,2,"[' Leisure trip ', ' Solo traveler ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",683 day
11/09/2016,London Marriott Hotel Regents Park,The location was great and super friendly staff,Although I have booked executive room I did felt disappointed For that price I did expected a bit more Like bigger room and atmosphere felt a bit cold in a room,United Kingdom,7.5,1,"[' Leisure trip ', ' Couple ', ' Deluxe King with Balcony ', ' Stayed 1 night ', ' Submitted from a mobile device ']",267 day
03/24/2016,London Marriott Hotel Regents Park,No Positive,Hotel was under going a refurb,United Kingdom,7.5,1,"[' Leisure trip ', ' Couple ', ' Deluxe King with Balcony ', ' Stayed 1 night ', ' Submitted from a mobile device ']",497 day
09/05/2015,Staunton Hotel B B,Staff extremely pleasant and helpful We had a room on the ground floor because my mum is disabled A lovely full English breakfast was brought to the room because she could not get to the dinning room in the basement Air conditioning worked well Great location 10 minutes walk to theatre district and Oxford Street Lots of shops and restaurants close by,Beds were very hard but a mattress topper would sort out the problem,United Kingdom,9.2,4,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",698 day
11/14/2016,H tel Westminster,Staff was very helpful,No Negative,United States of America,8.3,1,"[' Leisure trip ', ' Family with young children ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",262 day
07/05/2016,Hotel Odeon Saint Germain,The location was amazing,Room was very small,United States of America,9.6,2,"[' Leisure trip ', ' Group ', ' Classic Double Room ', ' Stayed 3 nights ']",394 day
06/05/2016,Mercure London Bloomsbury Hotel,Clean comfortable room Surprisingly quiet considering the location For once I managed a good nights sleep in a central London hotel,No Negative,United Kingdom,9.2,1,"[' Leisure trip ', ' Solo traveler ', ' Standard Single Room ', ' Stayed 1 night ']",424 day
08/12/2016,The Chamberlain,The bar restaurant in the hotel was very nice The main elevator was being refurbished so we received a complimentary drink on the house,Breakfast is quite pricey compared to other places around so we decided not to take it but eat in the city,Luxembourg,10,14,"[' Leisure trip ', ' Couple ', ' Luxury Double Room ', ' Stayed 2 nights ']",356 day
06/14/2016,The Chamberlain,The staff friendly,No wifi on the 4th floor the coffee machine did not work,United Kingdom,5.8,7,"[' Leisure trip ', ' Couple ', ' Luxury Double Room ', ' Stayed 1 night ']",415 day
05/18/2016,Radisson Blu Edwardian Grafton,Great location Good breakfast,Pillows hard Evening staff on desk could not answer question about night buses New location better than they did However did eventually look it up and find answer,United Kingdom,9.2,3,"[' Leisure trip ', ' Family with older children ', ' Standard Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",442 day
11/21/2016,Radisson Blu Edwardian Grafton,Everything,No Negative,United Kingdom,9.2,2,"[' Leisure trip ', ' Couple ', ' Junior Suite ', ' Stayed 1 night ', ' Submitted from a mobile device ']",255 day
06/12/2017,La Villa Haussmann,Great location friendly staff,Expensive,United Kingdom,9.6,1,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",52 days
